ID	Sex	Measurement_number	Eye_colour	Hair_colour	Height	Length_of_right_underarm	Length_of_right_underarm_and_hand	Length_of_right_foot	Length_of_left_foot	Neck_circumference	Height_of_mother	Height_of_father	Comments
g1p1	female	1	blue	dark	165	24	42.5	25	25	31	165	177	
g1p1	female	2	blue	dark	165	24	43	25	25	32	165	177	
g1p1	female	3	blue	dark	165	24	43	25	25	31	165	177	
g1p2	female	1	blue	dark	170	26	45	25	25	37	171	173	
g1p2	female	2	blue	dark	170	26	45.5	25	25	38	171	173	
g1p2	female	3	blue	dark	170	26	45.5	25	25	37	171	173	
g1p3	female	1	blue	light	164	25	43	23	23	31.5	165	172	
g1p3	female	2	blue	light	164	25	43.5	23	23	31	165	172	
g1p3	female	3	blue	light	164	25	43.5	23	23	31.5	165	172	
g1p4	female	1	blue	light	174	25.5	45	25	24.5	33	164.5	192	
g1p4	female	2	blue	light	174	25.5	45.5	25	24.5	33	164.5	192	
g1p4	female	3	blue	light	174	25.5	45.5	25	24.5	33	164.5	192	
g1p5	male	1	brown	dark	182	28	47.5	27	27	40	174	193	
g1p5	male	2	brown	dark	182	28	47.5	27	27	40.5	174	193	
g1p5	male	3	brown	dark	182	28	47.5	27	27	40	174	193	
g2p1	male	1	blue	dark	181	30	50	26	26.5	38	169	176	
g2p2	male	1	brown	dark	180	30	50	27	27	36	NA	NA	
g2p3	female	1	brown	dark	166	27.5	42	25.5	25.5	33.5	NA	NA	
g2p4	male	1	blue	dark	175.5	27.5	43.5	25	25.5	37	NA	NA	
g2p5	female	1	brown	dark	170.5	25	42	24	24	32.5	168	180	
g2p6	female	1	blue	dark	171	26.5	44.5	22.5	24	31	160	192	
g2p1	male	2	blue	dark	180.4	30.2	50	26	26.3	38	169	176	
g2p2	male	2	brown	dark	181	30.2	50	27.5	27.2	34	NA	NA	
g2p3	female	2	brown	dark	167	27.7	42.2	25.5	25.9	34	NA	NA	
g2p4	male	2	blue	dark	176	28	44	24.4	25.2	37	NA	NA	
