"student_gr","variety","fertype","conc","length","wetmass","startlength","startwetmass"
"gr_1","Bjarne","plus","C10",17.9,0.179,12.8,0.071
"gr_1","Zebra","plus","C10",16,0.196,12,0.093
"gr_1","Olivin","plus","C10",13.7,0.147,10.5,0.065
"gr_1","Magifik","plus","C10",20.6,0.193,14,0.087
"gr_1","Diamant","plus","C10",22.2,0.255,18.8,0.118
"gr_1","Oberkulmer","plus","C10",25.9,0.193,15.3,0.077
"gr_1","Bjarne","plus","C1",16.8,0.165,12.8,0.071
"gr_1","Zebra","plus","C1",16.4,0.136,12,0.093
"gr_1","Olivin","plus","C1",13.7,0.148,10.5,0.065
"gr_1","Magifik","plus","C1",18.5,0.183,14,0.087
"gr_1","Diamant","plus","C1",23,0.257,18.8,0.118
"gr_1","Oberkulmer","plus","C1",25.6,0.23,15.3,0.077
"gr_1","Bjarne","control","C0",12.3,0.129,12.8,0.071
"gr_1","Zebra","control","C0",18.1,0.197,12,0.093
"gr_1","Olivin","control","C0",14.2,0.144,10.5,0.065
"gr_1","Magifik","control","C0",20.1,0.209,14,0.087
"gr_1","Diamant","control","C0",24,0.217,18.8,0.118
"gr_1","Oberkulmer","control","C0",24.5,0.211,15.3,0.077
"gr_2","Bjarne","plus","C10",16.6,NA,12.3,0.074
"gr_2","Zebra","plus","C10",18.1,NA,15.9,0.115
"gr_2","Olivin","plus","C10",17.5,NA,11.7,0.075
"gr_2","Magifik","plus","C10",20.2,NA,13.5,0.117
"gr_2","Diamant","plus","C10",26.7,NA,16.4,0.114
"gr_2","Oberkulmer","plus","C10",26.8,NA,16.5,0.087
"gr_2","Bjarne","plus","C1",17.1,0.14755,12.3,0.074
"gr_2","Zebra","plus","C1",16.1,0.18848,15.9,0.115
"gr_2","Olivin","plus","C1",18,0.16345,11.7,0.075
"gr_2","Magifik","plus","C1",17.9,0.18034,13.5,0.117
"gr_2","Diamant","plus","C1",28.3,0.3286,16.4,0.114
"gr_2","Oberkulmer","plus","C1",27.3,0.1835,16.5,0.087
"gr_2","Bjarne","control","C0",10.9,0.08195,12.3,0.074
"gr_2","Zebra","control","C0",16.1,0.175663,15.9,0.115
"gr_2","Olivin","control","C0",14.4,0.129,11.7,0.075
"gr_2","Magifik","control","C0",18.4,0.18332,13.5,0.117
